# Forge 5.50-5.61 ownership inventory. Tab-separated; destinations are relative to the declared scope.
# kind	source	destination	scope	platform	host	ownership	selector	proof
legacy	CLAUDE.template.md	CLAUDE.md	project	all	claude	mixed-regions	regions:project-root	region-hash
merge	settings/settings-windows.template.json	.claude/settings.json	project	windows	claude	managed-entry	/hooks/SessionStart	exact-json
merge	settings/settings-windows.template.json	.claude/settings.json	project	windows	claude	managed-entry	/hooks/Stop	exact-json
merge	settings/settings-windows.template.json	.claude/settings.json	project	windows	claude	managed-entry	/hooks/SubagentStop	exact-json
merge	settings/settings-windows.template.json	.claude/settings.json	project	windows	claude	managed-entry	/hooks/PreCompact	exact-json
merge	settings/settings-windows.template.json	.claude/settings.json	project	windows	claude	managed-entry	/hooks/ConfigChange	exact-json
merge	settings/settings-windows.template.json	.claude/settings.json	project	windows	claude	managed-entry	/hooks/PreToolUse	exact-json
merge	settings/settings-windows.template.json	.claude/settings.json	project	windows	claude	managed-entry	/hooks/PermissionRequest	exact-json
merge	settings/settings-windows.template.json	.claude/settings.json	project	windows	claude	managed-entry	/hooks/PostToolUse	exact-json
merge	settings/global-settings.template.json	.claude/settings.json	global	unix	claude	managed-entry	/hooks/PreCompact	exact-json
merge	settings/global-settings.template.json	.claude/settings.json	global	unix	claude	managed-entry	/hooks/Stop	exact-json
merge	settings/global-settings.template.json	.claude/settings.json	global	windows	claude	managed-entry	/hooks/PreCompact	exact-json
merge	settings/global-settings.template.json	.claude/settings.json	global	windows	claude	managed-entry	/hooks/Stop	exact-json
merge	mcp.template.json	.mcp.json	project	all	claude	managed-entry	/mcpServers/playwright	exact-json
merge	mcp.template.json	.mcp.json	project	all	claude	managed-entry	/mcpServers/context7	exact-json
merge	setup.sh	.gitignore	project	all	shared	managed-line	.claude/local/	exact-line
legacy	hooks/pre-compact-memory.sh	.claude/hooks/pre-compact-memory.sh	global	unix	claude	whole-file	-	sha256
legacy	hooks/pre-compact-memory.ps1	.claude/hooks/pre-compact-memory.ps1	global	windows	claude	whole-file	-	sha256
legacy	hooks/session-start.sh	.claude/hooks/session-start.sh	project	unix	claude	whole-file	-	sha256
legacy	hooks/check-state-updated.sh	.claude/hooks/check-state-updated.sh	project	unix	claude	whole-file	-	sha256
legacy	hooks/post-tool-format.sh	.claude/hooks/post-tool-format.sh	project	unix	claude	whole-file	-	sha256
legacy	hooks/pre-compact-memory.sh	.claude/hooks/pre-compact-memory.sh	project	unix	claude	whole-file	-	sha256
legacy	hooks/check-config-change.sh	.claude/hooks/check-config-change.sh	project	unix	claude	whole-file	-	sha256
legacy	hooks/check-bash-safety.sh	.claude/hooks/check-bash-safety.sh	project	unix	claude	whole-file	-	sha256
legacy	hooks/check-workflow-gates.sh	.claude/hooks/check-workflow-gates.sh	project	unix	claude	whole-file	-	sha256
legacy	hooks/auto-approve-local-writes.sh	.claude/hooks/auto-approve-local-writes.sh	project	unix	claude	whole-file	-	sha256
legacy	hooks/build-evidence.sh	.claude/hooks/build-evidence.sh	project	unix	claude	whole-file	-	sha256
legacy	hooks/session-start.ps1	.claude/hooks/session-start.ps1	project	windows	claude	whole-file	-	sha256
legacy	hooks/check-state-updated.ps1	.claude/hooks/check-state-updated.ps1	project	windows	claude	whole-file	-	sha256
legacy	hooks/post-tool-format.ps1	.claude/hooks/post-tool-format.ps1	project	windows	claude	whole-file	-	sha256
legacy	hooks/pre-compact-memory.ps1	.claude/hooks/pre-compact-memory.ps1	project	windows	claude	whole-file	-	sha256
legacy	hooks/check-config-change.ps1	.claude/hooks/check-config-change.ps1	project	windows	claude	whole-file	-	sha256
legacy	hooks/check-bash-safety.ps1	.claude/hooks/check-bash-safety.ps1	project	windows	claude	whole-file	-	sha256
legacy	hooks/check-workflow-gates.ps1	.claude/hooks/check-workflow-gates.ps1	project	windows	claude	whole-file	-	sha256
legacy	hooks/auto-approve-local-writes.ps1	.claude/hooks/auto-approve-local-writes.ps1	project	windows	claude	whole-file	-	sha256
legacy	hooks/build-evidence.ps1	.claude/hooks/build-evidence.ps1	project	windows	claude	whole-file	-	sha256
legacy	hooks/lib/default-branch.sh	.claude/hooks/lib/default-branch.sh	project	all	claude	whole-file	-	sha256
legacy	hooks/lib/default-branch.ps1	.claude/hooks/lib/default-branch.ps1	project	all	claude	whole-file	-	sha256
legacy	hooks/lib/review-breaker.sh	.claude/hooks/lib/review-breaker.sh	project	all	claude	whole-file	-	sha256
legacy	hooks/lib/review-breaker.ps1	.claude/hooks/lib/review-breaker.ps1	project	all	claude	whole-file	-	sha256
legacy	hooks/lib/codex-pty.sh	.claude/hooks/lib/codex-pty.sh	project	all	claude	whole-file	-	sha256
legacy	hooks/lib/codex-pty.ps1	.claude/hooks/lib/codex-pty.ps1	project	all	claude	whole-file	-	sha256
legacy	hooks/lib/codex-pty-helper.py	.claude/hooks/lib/codex-pty-helper.py	project	all	claude	whole-file	-	sha256
legacy	agents/council-advisor.md	.claude/agents/council-advisor.md	project	all	claude	whole-file	-	sha256
legacy	agents/research-first.md	.claude/agents/research-first.md	project	all	claude	whole-file	-	sha256
legacy	agents/verify-app.md	.claude/agents/verify-app.md	project	all	claude	whole-file	-	sha256
legacy	agents/verify-e2e.md	.claude/agents/verify-e2e.md	project	all	claude	whole-file	-	sha256
legacy	skills/release/SKILL.template.md	.claude/skills/release/SKILL.md	project	all	claude	whole-file	-	sha256
legacy	skills/council/SKILL.template.md	.claude/skills/council/SKILL.md	project	all	claude	whole-file	-	sha256
legacy	skills/council/references/advisors.md	.claude/skills/council/references/advisors.md	project	all	claude	whole-file	-	sha256
legacy	skills/council/references/output-schema.md	.claude/skills/council/references/output-schema.md	project	all	claude	whole-file	-	sha256
legacy	skills/council/references/peer-review-protocol.md	.claude/skills/council/references/peer-review-protocol.md	project	all	claude	whole-file	-	sha256
legacy	skills/ui-design/SKILL.template.md	.claude/skills/ui-design/SKILL.md	project	all	claude	whole-file	-	sha256
legacy	skills/ui-design/references/21st-dev-components.md	.claude/skills/ui-design/references/21st-dev-components.md	project	all	claude	whole-file	-	sha256
legacy	skills/ui-design/references/animation-techniques.md	.claude/skills/ui-design/references/animation-techniques.md	project	all	claude	whole-file	-	sha256
legacy	skills/ui-design/references/industry-design-guide.md	.claude/skills/ui-design/references/industry-design-guide.md	project	all	claude	whole-file	-	sha256
legacy	skills/ui-design/references/landing-patterns.md	.claude/skills/ui-design/references/landing-patterns.md	project	all	claude	whole-file	-	sha256
legacy	skills/ui-design/references/media-assets.md	.claude/skills/ui-design/references/media-assets.md	project	all	claude	whole-file	-	sha256
legacy	skills/ui-design/references/polish-checklist.md	.claude/skills/ui-design/references/polish-checklist.md	project	all	claude	whole-file	-	sha256
legacy	skills/ui-design/references/product-ui-patterns.md	.claude/skills/ui-design/references/product-ui-patterns.md	project	all	claude	whole-file	-	sha256
legacy	skills/ui-design/references/trust-first-patterns.md	.claude/skills/ui-design/references/trust-first-patterns.md	project	all	claude	whole-file	-	sha256
legacy	skills/ui-design/references/typography-and-color.md	.claude/skills/ui-design/references/typography-and-color.md	project	all	claude	whole-file	-	sha256
legacy	skills/ui-design/references/ux-antipatterns.md	.claude/skills/ui-design/references/ux-antipatterns.md	project	all	claude	whole-file	-	sha256
legacy	skills/generate-image/SKILL.template.md	.claude/skills/generate-image/SKILL.md	project	all	claude	whole-file	-	sha256
legacy	commands/codex.md	.claude/commands/codex.md	project	all	claude	whole-file	-	sha256
legacy	commands/finish-branch.md	.claude/commands/finish-branch.md	project	all	claude	whole-file	-	sha256
legacy	commands/fix-bug.md	.claude/commands/fix-bug.md	project	all	claude	whole-file	-	sha256
legacy	commands/new-feature.md	.claude/commands/new-feature.md	project	all	claude	whole-file	-	sha256
legacy	commands/prd/create.md	.claude/commands/prd/create.md	project	all	claude	whole-file	-	sha256
legacy	commands/prd/discuss.md	.claude/commands/prd/discuss.md	project	all	claude	whole-file	-	sha256
legacy	commands/quick-fix.md	.claude/commands/quick-fix.md	project	all	claude	whole-file	-	sha256
legacy	commands/review-pr-comments.md	.claude/commands/review-pr-comments.md	project	all	claude	whole-file	-	sha256
legacy	rules/api-design.md	.claude/rules/api-design.md	project	all	claude	whole-file	-	sha256
legacy	rules/critical-rules.md	.claude/rules/critical-rules.md	project	all	claude	whole-file	-	sha256
legacy	rules/database.md	.claude/rules/database.md	project	all	claude	whole-file	-	sha256
legacy	rules/frontend-design.md	.claude/rules/frontend-design.md	project	all	claude	whole-file	-	sha256
legacy	rules/memory.md	.claude/rules/memory.md	project	all	claude	whole-file	-	sha256
legacy	rules/principles.md	.claude/rules/principles.md	project	all	claude	whole-file	-	sha256
legacy	rules/python-style.md	.claude/rules/python-style.md	project	all	claude	whole-file	-	sha256
legacy	rules/security.md	.claude/rules/security.md	project	all	claude	whole-file	-	sha256
legacy	rules/skill-audit.md	.claude/rules/skill-audit.md	project	all	claude	whole-file	-	sha256
legacy	rules/testing.md	.claude/rules/testing.md	project	all	claude	whole-file	-	sha256
legacy	rules/typescript-style.md	.claude/rules/typescript-style.md	project	all	claude	whole-file	-	sha256
legacy	rules/workflow.md	.claude/rules/workflow.md	project	all	claude	whole-file	-	sha256
legacy	rules/worktree-policy.md	.claude/rules/worktree-policy.md	project	all	claude	whole-file	-	sha256
legacy	docs/adr/template.md	docs/adr/template.md	project	all	shared	whole-file	-	sha256
legacy	docs/adr/README.md	docs/adr/README.md	project	all	shared	whole-file	-	sha256
legacy	docs/adr/0001-volatile-state-not-auto-loaded.md	docs/adr/0001-volatile-state-not-auto-loaded.md	project	all	shared	whole-file	-	sha256
legacy	docs/adr/0002-bash-and-powershell-dual-platform.md	docs/adr/0002-bash-and-powershell-dual-platform.md	project	all	shared	whole-file	-	sha256
legacy	docs/adr/0003-template-distributed-no-build-step.md	docs/adr/0003-template-distributed-no-build-step.md	project	all	shared	whole-file	-	sha256
legacy	docs/adr/0004-diataxis-docs-structure.md	docs/adr/0004-diataxis-docs-structure.md	project	all	shared	whole-file	-	sha256
legacy	docs/adr/0005-hard-platform-parity-rule.md	docs/adr/0005-hard-platform-parity-rule.md	project	all	shared	whole-file	-	sha256
legacy	templates/playwright/playwright.config.template.ts	__PLAYWRIGHT_DIR__/playwright.config.ts	project	all	shared	whole-file	-	sha256
legacy	templates/playwright/auth.fixture.template.ts	__PLAYWRIGHT_DIR__/tests/e2e/fixtures/auth.ts	project	all	shared	whole-file	-	sha256
legacy	templates/playwright/example.spec.template.ts	__PLAYWRIGHT_DIR__/tests/e2e/specs/example.spec.ts	project	all	shared	whole-file	-	sha256
legacy	templates/ci-workflows/e2e.yml	docs/ci-templates/e2e.yml	project	all	shared	whole-file	-	sha256
legacy	templates/ci-workflows/README.md	docs/ci-templates/README.md	project	all	shared	whole-file	-	sha256
legacy	setup.sh	tests/e2e/reports/.gitignore	project	all	shared	generated-value	reports-ignore	exact-value
